strain,date,region,host,year,country,genotype,place_of_collection,author,accession
MN506268.1,5/5/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MF423376.2,4/13/2017,"LA,C",Alouatta guariba clamitans,2017,Brazil,SAmI,Brazil,"Gomez,M.M., Abreu,F.V.S., Santos,A.A.C.D., Mello,I.S., Santos,M.P., Ribeiro,I.P., Ferreira-de-Brito,A., Miranda,R.M., Castro,M.G., Ribeiro,M.S., Laterriere Junior,R.D.C., Aguiar,S.F., Meira,G.L.S., Antunes,D., Torres,P.H.M., Mir,D., Vicente,A.C.P., Guimaraes,A.C.R., Caffarena,E.R., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MN643088.1,4/19/2017,"LA,C",Alouatta guariba,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Furtado,N.D., dos Santos,A.A.C., Cruz,S.O.D., de Mello,I.S., dos Santos,M.P., Raphael,L.M.S., Ferreira-de-Brito,A., Pina-Costa,A., Brasil,P., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MN506275.1,5/5/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN643082.1,2/16/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Furtado,N.D., dos Santos,A.A.C., Cruz,S.O.D., Mello,I.S., Dos Santos,M.P., Raphael,L.M.S., Ferreira-de-Brito,A., Pina-Costa,A., Brasil,P., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MN643081.1,2/19/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Furtado,N.D., dos Santos,A.A.C., Cruz,S.O.D., Mello,I.S., Dos Santos,M.P., Raphael,L.M.S., Ferreira-de-Brito,A., Pina-Costa,A., Brasil,P., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
ON022480.1,2/19/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
MN506277.1,5/5/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN506276.1,5/5/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN506278.1,5/7/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN506267.1,5/8/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MF538786.2,6/5/2017,"LA,C",marmoset,2017,Brazil,SAmI,Brazil,"Gomez,M.M., Abreu,F.V., Santos,A.A., Mello,I.S., Santos,M.P., Ribeiro,I.P., Ferreira-de-Brito,A., Miranda,R.M., Castro,M.G., Ribeiro,M.S., Laterriere Junior,R.D., Aguiar,S.F., Meira,G.L., Antunes,D., Torres,P.H., Mir,D., Vicente,A.C., Guimaraes,A.C., Caffarena,E.R., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MF423375.2,4/4/2017,"LA,C",Alouatta guariba clamitans,2017,Brazil,SAmI,Brazil,"Gomez,M.M., Abreu,F.V.S., Santos,A.A.C.D., Mello,I.S., Santos,M.P., Ribeiro,I.P., Ferreira-de-Brito,A., Miranda,R.M., Castro,M.G., Ribeiro,M.S., Laterriere Junior,R.D.C., Aguiar,S.F., Meira,G.L.S., Antunes,D., Torres,P.H.M., Mir,D., Vicente,A.C.P., Guimaraes,A.C.R., Caffarena,E.R., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MF170973.1,4/10/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Moreira-Soto,A., Torres,M.C., Lima de Mendonca,M.C., Mares-Guia,M.A., Dos Santos Rodrigues,C.D., Fabri,A.A., Dos Santos,C.C., Machado Araujo,E.S., Fischer,C., Ribeiro Nogueira,R.M., Drosten,C., Sequeira,P.C., Drexler,J.F. and Bispo de Filippis,A.M.",
MN506273.1,5/5/2017,"LA,C",Hg. leucocelaenus,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN506282.1,5/8/2017,"LA,C",Hg. janthinomys,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN506283.1,5/5/2017,"LA,C",Hg. janthinomys,2017,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN506266.1,1/9/2018,"LA,C",Hg. janthinomys,2018,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Ferreira-de-Brito,A., Santos,A.A.C.D., Miranda,R.M., Bonelly,I.S., Neves,M.S.A.S., Bersot,M.I., Santos,T.P.D., Gomes,M.Q., Silva,J.L.D., Romano,A.P.M., Carvalho,R.G., Said,R.F.D.C., Ribeiro,M.S., Laperriere,R.D.C., Fonseca,E.O.L., Falqueto,A., Paupy,C., Failloux,A.B., Moutailler,S., Castro,M.G., Gomez,M.M., Motta,M.A., Bonaldo,M.C. and Lourenco-de-Oliveira,R.",
MN643085.1,2/11/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Furtado,N.D., dos Santos,A.A.C., Cruz,S.O.D., Mello,I.S., Dos Santos,M.P., Raphael,L.M.S., Ferreira-de-Brito,A., Pina-Costa,A., Brasil,P., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MK333805.1,2/7/2018,"LA,C",Sabethes chloropterus,2018,Brazil,SAmI,Brazil,"Delatorre,E., de Abreu,F.V.S., Ribeiro,I.P., Gomez,M.M., Dos Santos,A.A.C., Ferreira-de-Brito,A., Neves,M.S.A.S., Bonelly,I., de Miranda,R.M., Furtado,N.D., Raphael,L.M.S., da Silva,L.F.F., de Castro,M.G., Ramos,D.G., Romano,A.P.M., Kallas,E.G., Vicente,A.C.P., Bello,G., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MK583168.1,2/11/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Cunha,M.D.P., Duarte-Neto,A.N., Pour,S.Z., Ortiz-Baez,A.S., Cerny,J., Pereira,B.B.S., Braconi,C.T., Ho,Y.L., Perondi,B., Sztajnbok,J., Alves,V.A.F., Dolhnikoff,M., Holmes,E.C., Saldiva,P.H.N. and Zanotto,P.M.A.",
MN643091.1,2/7/2018,"LA,C",Alouatta guariba,2018,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Furtado,N.D., dos Santos,A.A.C., Cruz,S.O.D., de Mello,I.S., dos Santos,M.P., Raphael,L.M.S., Ferreira-de-Brito,A., Pina-Costa,A., Brasil,P., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
MN643090.1,2/4/2018,"LA,C",Alouatta guariba,2018,Brazil,SAmI,Brazil,"Abreu,F.V.S., Ribeiro,I.P., Furtado,N.D., dos Santos,A.A.C., Cruz,S.O.D., de Mello,I.S., dos Santos,M.P., Raphael,L.M.S., Ferreira-de-Brito,A., Pina-Costa,A., Brasil,P., Lourenco-de-Oliveira,R. and Bonaldo,M.C.",
ON022539.1,2/10/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022486.1,2/22/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022452.1,2/19/2018,"LA,C",Alouatta,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022526.1,2/13/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022468.1,3/6/2017,"LA,C",Non-human primate,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022504.1,3/17/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022481.1,2/16/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022543.1,4/11/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022442.1,4/17/2018,"LA,C",Callithrix,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022660.1,6/15/2018,"LA,C",Non-human primate,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022454.1,2/19/2018,"LA,C",Alouatta,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022437.1,2/5/2018,"LA,C",Callithrix,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022512.1,2/20/2018,"LA,C",Homo sapiens,2018,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
ON022730.1,2/14/2017,"LA,C",Homo sapiens,2017,Brazil,SAmI,Brazil,"Hill,S.C., Dellicour,S., Claro,I.M., Sequeira,P., Adelino,T., Theze,J., Wu,C.-H., Rebello Moreira,F.R., Giovanetti,M., Li,S., de Jesus,J.G., Colon-Gonzalez,F., Chamberlain,H.R., Pannell,O., Tejedor-Garavito,N., Bruycker-Nogueira,F., Fabri,A.A., Xavier,J., Zarebski,A.E., Hamlet,A., Mureb Sallum,M.A., da Costa,A.C., Manuli,E., Levin,A.S., Mucci,L.F., Tubaki,R.M., Tironi de Menezes,R.M., Telles de Deus,J., Spinola,R., Saad,L., Kallas,E.G., Wint,G.W., Peixoto,P.S., de Souza Santo,A., Messina,J.P., Brady,O.J., Tatem,A., Suchard,M.A., Mendez-Rico,J., Abreu,A., Alcantara,L.C.J., Santana Aguiar,R., Pybus,O.G., Baele,G., Lemey,P., Iani,F., Cunha,M.S., Bispo de Filippis,A.M., Sabino,E.C. and Faria,N.R.",
